id;iso_lang_code_set1;language;iso_lang_code_set2;family;wikipedia_link
0;en;English;eng;Indo-European;https://en.wikipedia.org/wiki/English_language
60;af;Afrikaans;afr;Indo-European;https://en.wikipedia.org/wiki/Afrikaans
71;ar;Arabic;ara;Afro-Asiatic;https://en.wikipedia.org/wiki/Arabic
32;as;Assamese;asm;Indo-European;https://en.wikipedia.org/wiki/Assamese_language
91;az;North Azerbaijani;aze;Turkic;https://en.wikipedia.org/wiki/Azerbaijani_language
94;ba;Bashkir;bak;Turkic;https://en.wikipedia.org/wiki/Bashkir_language
28;be;Belarusian;bel;Indo-European;https://en.wikipedia.org/wiki/Belarusian_language
7;bg;Bulgarian;bul;Indo-European;https://en.wikipedia.org/wiki/Bulgarian_language
45;bn;Bengali;ben;Indo-European;https://en.wikipedia.org/wiki/Bengali_language
65;bs;Bosnian;bos;Indo-European;https://en.wikipedia.org/wiki/Bosnian_language
55;ca;Catalan;cat;Indo-European;https://en.wikipedia.org/wiki/Catalan_language
9;cs;Czech;ces;Indo-European;https://en.wikipedia.org/wiki/Czech_language
33;cy;Welsh;cym;Indo-European;https://en.wikipedia.org/wiki/Welsh_language
6;da;Danish;dan;Indo-European;https://en.wikipedia.org/wiki/Danish_language
3;de;German;ger;Indo-European;https://en.wikipedia.org/wiki/German_language
10;el;Greek;ell;Indo-European;https://en.wikipedia.org/wiki/Greek_language
12;es;Spanish;spa;Indo-European;https://en.wikipedia.org/wiki/Spanish_language
99;et;Estonian;est;Uralic;https://en.wikipedia.org/wiki/Estonian_language
106;eu;Basque;eus;Other;https://en.wikipedia.org/wiki/Basque_language
20;fa;Persian;fas;Indo-European;https://en.wikipedia.org/wiki/Persian_language
98;fi;Finnish;fin;Uralic;https://en.wikipedia.org/wiki/Finnish_language
42;fo;Faroese;fao;Indo-European;https://en.wikipedia.org/wiki/Faroese_language
1;fr;French;fre;Indo-European;https://en.wikipedia.org/wiki/French_language
41;ga;Irish;gle;Indo-European;https://en.wikipedia.org/wiki/Irish_language
54;gl;Galician;glg;Indo-European;https://en.wikipedia.org/wiki/Galician_language
22;gu;Gujarati;guj;Indo-European;https://en.wikipedia.org/wiki/Gujarati_language
72;he;Hebrew;heb;Afro-Asiatic;https://en.wikipedia.org/wiki/Hebrew_language
43;hi;Hindi;hin;Indo-European;https://en.wikipedia.org/wiki/Hindi
15;hr;Croatian;hrv;Indo-European;https://en.wikipedia.org/wiki/Croatian_language
107;ht;Haitian;hat;Other;https://en.wikipedia.org/wiki/Haitian_Creole
100;hu;Hungarian;hun;Uralic;https://en.wikipedia.org/wiki/Hungarian_language
66;hy;Armenian;hye;Indo-European;https://en.wikipedia.org/wiki/Armenian_language
74;id;Indonesian;ind;Austronesian;https://en.wikipedia.org/wiki/Indonesian_language
