# 地点选项 / Location Options
中国 | 长城 (Great Wall)
中国 | 故宫 (Forbidden City)
中国 | 西湖 (West Lake)
中国 | 张家界 (Zhangjiajie)
中国 | 九寨沟 (Jiuzhaigou Valley)
中国 | 黄山 (Huangshan Mountain)
中国 | 桂林山水 (Guilin Scenery)
中国 | 敦煌莫高窟 (Mogao Caves)
中国 | 秦始皇陵 (Mausoleum of the First Qin Emperor)
中国 | 颐和园 (Summer Palace)
中国 | 天坛 (Temple of Heaven)
中国 | 布达拉宫 (Potala Palace)
中国 | 峨眉山 (Mount Emei)
中国 | 乐山大佛 (Leshan Giant Buddha)
中国 | 平遥古城 (Pingyao Ancient City)
中国 | 丽江古城 (Lijiang Ancient Town)
中国 | 西藏 普莫雍措 (Pumo Yongcuo Lake)
中国 | 西藏 白玛林措 (Baimalin Lake)
中国台湾 | 台北101大楼 (Taipei 101)
中国台湾 | 阿里山 (Alishan)
中国台湾 | 日月潭 (Sun Moon Lake)
中国台湾 | 垦丁国家公园 (Kenting National Park)
中国台湾 | 太鲁阁峡谷 (Taroko Gorge)
中国台湾 | 野柳地质公园 (Yehliu Geopark)
中国台湾 | 九份老街 (Jiufen Old Street)
中国台湾 | 淡水渔人码头 (Tamsui Fisherman's Wharf)
中国香港 | 维多利亚港 (Victoria Harbour)
中国澳门 | 大三巴牌坊 (Ruins of St. Paul's)
日本 | 东京浅草寺 (Senso-ji Temple)
日本 | 京都金阁寺 (Kinkaku-ji)
日本 | 大阪城 (Osaka Castle)
日本 | 奈良东大寺 (Todai-ji Temple)
日本 | 富士山 (Mount Fuji)
日本 | 札幌钟楼 (Sapporo Clock Tower)
日本 | 函馆夜景 (Hakodate Night View)
日本 | 冲绳首里城 (Shuri Castle)
日本 | 名古屋城 (Nagoya Castle)
日本 | 广岛和平纪念公园 (Hiroshima Peace Memorial Park)
日本 | 长崎哥拉巴园 (Glover Garden)
日本 | 神户异人馆 (Kitano-cho)
日本 | 横滨中华街 (Yokohama Chinatown)
日本 | 镰仓大佛 (Kamakura Daibutsu)
日本 | 日光东照宫 (Nikko Toshogu Shrine)
日本 | 白川乡合掌村 (Shirakawa-go)
日本 | 箱根温泉 (Hakone Hot Springs)
日本 | 轻井泽 (Karuizawa)
日本 | 北海道富良野 (Furano)
日本 | 小樽运河 (Otaru Canal)
日本 | 那霸国际通 (Kokusai Street)
韩国 | 首尔景福宫 (Gyeongbokgung Palace)
韩国 | 济州岛汉拿山 (Hallasan Mountain)
新加坡 | 鱼尾狮公园 (Merlion Park)
马来西亚 | 吉隆坡双子塔 (Petronas Twin Towers)
印度尼西亚 | 巴厘岛海神庙 (Tanah Lot)
印度尼西亚 | 婆罗浮屠 (Borobudur)
印度尼西亚 | 普兰巴南神庙 (Prambanan Temple)
马来西亚 | 马六甲红屋 (Christ Church)
马来西亚 | 槟城乔治市 (George Town)
老挝 | 琅勃拉邦古城 (Luang Prabang)
老挝 | 万象塔銮寺 (Pha That Luang)
缅甸 | 仰光大金塔 (Shwedagon Pagoda)
越南 | 河内还剑湖 (Hoan Kiem Lake)
缅甸 | 蒲甘佛塔群 (Bagan Temples)
越南 | 下龙湾 (Halong Bay)
越南 | 会安古城 (Hoi An Ancient Town)
泰国 | 曼谷大皇宫 (Grand Palace)
印度 | 泰姬陵 (Taj Mahal)
法国 | 埃菲尔铁塔 (Eiffel Tower)
法国 | 卢浮宫 (Louvre Museum)
法国 | 凡尔赛宫 (Palace of Versailles)
法国 | 圣米歇尔山 (Mont Saint-Michel)
意大利 | 罗马斗兽场 (Colosseum)
意大利 | 比萨斜塔 (Leaning Tower of Pisa)
意大利 | 威尼斯圣马可大教堂 (St. Mark's Basilica)
意大利 | 佛罗伦萨圣母百花大教堂 (Florence Cathedral)
意大利 | 米兰大教堂 (Milan Cathedral)
意大利 | 维苏威火山 (Mount Vesuvius)
英国 | 巨石阵 (Stonehenge)
英国 | 伦敦塔桥 (Tower Bridge)
英国 | 白金汉宫 (Buckingham Palace)
英国 | 大本钟 (Big Ben)
德国 | 新天鹅堡 (Neuschwanstein Castle)
德国 | 科隆大教堂 (Cologne Cathedral)
西班牙 | 巴塞罗那圣家堂 (Sagrada Familia)
西班牙 | 马德里皇宫 (Royal Palace of Madrid)
西班牙 | 阿尔罕布拉宫 (Alhambra)
希腊 | 雅典卫城 (Acropolis of Athens)
希腊 | 圣托里尼岛 (Santorini)
俄罗斯 | 克里姆林宫 (Kremlin)
俄罗斯 | 红场 (Red Square)
俄罗斯 | 莫斯科地铁 (Moscow Metro)
奥地利 | 维也纳美泉宫 (Schönbrunn Palace)
捷克 | 布拉格城堡 (Prague Castle)
匈牙利 | 布达城堡 (Buda Castle)
波兰 | 华沙老城 (Warsaw Old Town)
拉脱维亚 | 里加老城 (Riga Old Town)
爱沙尼亚 | 塔林老城 (Tallinn Old Town)
芬兰 | 赫尔辛基大教堂 (Helsinki Cathedral)
挪威 | 奥斯陆歌剧院 (Oslo Opera House)
瑞典 | 斯德哥尔摩市政厅 (Stockholm City Hall)
丹麦 | 哥本哈根小美人鱼 (The Little Mermaid)
冰岛 | 雷克雅未克大教堂 (Hallgrímskirkja)
冰岛 | 冰岛黄金圈 (Golden Circle, Iceland)
冰岛 | 冰岛蓝湖 (Blue Lagoon, Iceland)
爱尔兰 | 爱尔兰巨人之路 (Giant's Causeway)
英国 | 苏格兰高地 (Scottish Highlands)
多国 | 北极光观测点 (Northern Lights Observatory)
多国 | 凯尔特海 (Celtic Sea)
克罗地亚 | 克罗地亚普利特维采湖 (Plitvice Lakes, Croatia)
意大利 | 威尼斯 (Venice)
葡萄牙 | 佩纳宫 (Pena Palace)
比利时 | 布鲁塞尔大广场 (Grand Place)
荷兰 | 阿姆斯特丹运河 (Amsterdam Canals)
梵蒂冈 | 圣彼得大教堂 (St. Peter's Basilica)
美国 | 金门大桥 (Golden Gate Bridge)
美国 | 大峡谷 (Grand Canyon)
美国 | 自由女神像 (Statue of Liberty)
美国 | 纽约中央公园 (Central Park)
美国 | 华盛顿纪念碑 (Washington Monument)
