# Do NOT update this file. It can be overwritten when updating.
# add new entry to lora-keyword-user.txt
# 
#model_hash,keyword,filename.ckpt
0000bfb4, xine
0002f10f, 애프리 applee
0003a48d, zavy-ndrwtr|split frame|underwater|crashing wave|water edge
0003db5c, bingbingfan
000420cb, ukruniform22
000421fc, pokemon|misty|mermaid
00042be9, maruzensky| animal ears| green eyes| horse tail|hair bow| black bow| ear bow| red jacket| cropped jacket| long sleeves| red shirt| black sailor collar| corset| red skirt| thigh strap| red thighhighs| cleavage|ponytail| sunglasses| eyewear on head| heart-shaped eyewear| black bikini| frilled bikini| necklace
0005069e, Ikelos|white thighhighs| gloves| bare shoulders| sleeveless| elbow gloves| fingerless gloves| bridal gauntlets| brown gloves| armor| pleated skirt|long hair| hair ornament| green eyes| sidelocks| jewelry| earrings| green hair| hair bow| hair between eyes| braid| up| twin braids| white bow
0005e823, 1girl|solo|looking at viewer
0006ceaa, mizubakopa (fkg)| short hair| purple eyes| hair bow| pink bow| black headwear| hat| dress| ascot| capelet| jewelry| earrings| white thighhighs| blue footwear
00070071, alahnaly
0007f325, two-handed burger
00083fb0, testicles|huge testicles|gigantic testicles|small penis|huge penis|hyperballs|futanari
00095fd0, freddy krueger 1984
000b28c3, yorha no. 2 type b
000b5238, shiranui mai|brown eyes| long hair| brown hair| white ribbon| sleeveless| ponytail| sash| pelvic curtain| arm guards| gloves| tabi
000c1914, portrait_futurism
000ec660, a woman
000fe766, sks woman
0010b541, yuuki_sara| green eyes| multicolored hair| red hair| two-tone hair| pink hair| long hair| yellow dress| off-shoulder shirt| bare shoulders| bra strap| green elbow sleeves| belt| black leggings|
00112b19, score_9| source_anime
00114905, battlerobot||non-humanoid robot
00119641, ALO14 man
00127424, ogino_mika|long hair| brown hair| twintails| red hair| drill hair| brown eyes
00137c7e, kitano|black gakuran
00146a1b, rpgnightmare
00150580, kevinlevin| solo| black shirt| layered sleeves| blue pants, kevinlevin-10.safetensors
00150580, kevinlevin|solo|black shirt|layered sleeves|blue pants|anime coloring|style parody, kevinlevin-10.safetensors
00155c92, destiny
00167571, upper body|close-up
00169f7e, minami tsubame|turtleneck|yellow dress|white uniform|sun hat|yukata|swimsuit
001762ca, minju
001b50fe, Funger Girl|Grey eyes
001bd73a, lamia|snake body|snake body up/swing/down|*color* scales|*color* belly|tip of the snake body up/swing/down
001c464c, freya jkt48
001c85ab, Nayo_FF7
001cf5f2, asuka langley soryu| white latex| plugsuit|eye patch
001e72f5, vr-mayumi
001f55e8, goldmary (fire emblem)|goldmary (fire emblem)
0021c9be, sorakado ao
0022bb9b, close-up
00238026, Explosion Artstyle
0023954c, sks woman
0023b30c, Ivorylagiacrus
002428dc, dreadtech|disturbing|scifi
00248386, don't starve|Sketh
0024dbaa, (((white tuxedo|smoking|cigar|smirk|evil grin|evil smile| fat)))|
00250bee, bronze statue
00255c29, w3r3c4t|tail|latex
002574bd, sara_keith_model
002598b0, lowbrow art style|surreal
0025c8a3, sristmg||sristmg| very long hair| blue hair| grey hair|  low-tied long hair| hair ornament| bangs| blue eyes| medium breasts| small breasts||score_9| score_8_up| score_7_up| source_anime|
00268176, sekisiro miko
0026d504, wudaosheng
00272680, yakkity yak| antlers| grey body| toony eyes|
00279e7a, nessa|dark skin|dark-skinned female|single hair bun|swimsuit|bikini|jewelry|necklace|earrings|belly chain|armlet|midriff
0027c5ca, 1boy
0027cdfa, Kazuhira Miller
0028f56f, Straightjacket|woman in a straightjacket
002a4779, Old Oil Painting of by g0ya
002c3cf5, a hvyflamer weapon
002d2174, 常服：lumaqn|robe|睡衣：lumaqn|pajamas
002d29ae, overhang
002e1b92, sks woman
002e278b, iroha|purple hair| purple eyes| twintails|sun hair ornament| default_dress| bow| sleeveless
002ec143, wearing templar clothes|tunic|cross|cross on chests|cloak|chainmail|coif|sleeveless tunic
002ef559, all in one
002fccd9, enju aihara| long hair| brown hair| hair ornament| twintails| (brown eyes:1.5)||dress| frills| long sleeves| collarbone|
00304425, sybian tied up riding forced standing rope
0030f1f2, 1girl riessfeld hair ornament|school uniform white jacket long sleeves black skirt thigh boots
00315864, freckles|teeth| blunt bangs| necklace| hair bun| double bun|hair ribbon|necklace|red hair ribbon|forehead mark|dress|chinese clothes|short hair|black hair|sleeveless |round head|  cartoon character|
00342b1f, p053y5j
00347760, edward_elric| blonde hair| yellow eyes| braid| single braid| braided ponytail| single mechanical arm
003552f1, dori (genshin impact)|1girl|hat|pink hair|long hair|ahoge|hair ornament|yellow eyes|sunglasses|vision (genshin impact)|detached sleeves|long sleeves|sleeveless shirt| bare shoulders|crop top| navel| harem pants|purple pants| bow||slime (genshin impact)
0035e814, francine_(ac)
003652cf, Eris Greyrat|long red hair|black and white dress|black eyeliner|ahoge
00373536, flatee|v3rd
00383d56, cute00d
003867ad, stormtrooper
003b299c, sword maiden
003b9ccf, android 18
003e133d, mallow (pokemon)| dark skin| hair flower| hair ornament||grey overalls| pink shirt| sleeveless| grey shorts|
003e5df2, hcutin, hcutinConcept_18.safetensors
003e5df2, vcutin, vcutinConcept_18.safetensors
003f4806, akigumo_(kancolle)
003fac54, aatsuki|closed eyes|long hair|hair between eyes|bangs|hair over shoulder|huge breasts|shirt|white shirt|collarbone|long sleeves|long skirt|yellow skirt|buttons|shoes|grey footwear|bbtsuki|cow print|closed eyes|cow horns|hairband|cow ears|long hair|bangs|huge breasts|neck bell|cowbell|swimsuit|bikini|micro bikini|side-tie bikini bottom|gloves|elbow gloves|white thighhighs
003ff122, ibuki fuko
0040c475, caelus|gray hair|yellow eyes
0041417b, kuribayashi shino
004157eb, lactaidcow
0042404a, v3lv3tj0gg3r
0042425d, elizabeth (wacca)|multicolored clothes| necktie| jacket| plaid skirt| pantyhose
00427ff9, Mewtwo|pokemon_creature|non-human
004438eb, freddy fazbear|blue eyes|furry|mini hat|animal ears|bowtie
0044c1ae, s4r4h
00452944, simplakart|spt1
00452c36, kagami taiga|sportswear|basketball uniform
004588df, stolas
0046b0d7, Edward Grenore
00470bb5, 9tail fox
00471e92, m3shfl0ral| bra| panties| see-through| floral| yellow|
0048c63f, shinJiye|short hair| black hair| mole under mouth|
0048ecc5, manticore
004a72a2, ukj style
004b46ae, milinda|1girl
004c0972, cure yell
004ca4d2, supersaiyanaura
004cd3a5, varzuri
