# 地点选项 / Location Options
中国，长城 (China, Great Wall)
中国，故宫 (China, Forbidden City)
中国，西湖 (China, West Lake)
中国，张家界 (China, Zhangjiajie)
中国，九寨沟 (China, Jiuzhaigou Valley)
中国，黄山 (China, Huangshan Mountain)
中国，桂林山水 (China, Guilin Scenery)
中国，敦煌莫高窟 (China, Mogao Caves)
中国，秦始皇陵 (China, Mausoleum of the First Qin Emperor)
中国，颐和园 (China, Summer Palace)
中国，天坛 (China, Temple of Heaven)
中国，布达拉宫 (China, Potala Palace)
中国，峨眉山 (China, Mount Emei)
中国，乐山大佛 (China, Leshan Giant Buddha)
中国，平遥古城 (China, Pingyao Ancient City)
中国，丽江古城 (China, Lijiang Ancient Town)
中国，普莫雍措 (China, Pumo Yongcuo Lake)
中国，白玛林措 (China, Baimalin Lake)
中国，石林 (China, Stone Forest)
中国，稻城亚丁 (China, Daocheng Yading)
中国，黄果树瀑布 (China, Huangguoshu Waterfall)
中国，华山 (China, Huashan Mountain)
中国，武夷山 (China, Wuyi Mountain)
中国，喀纳斯湖 (China, Kanas Lake)
中国，张掖丹霞 (China, Zhangye Danxia)
中国，青海湖 (China, Qinghai Lake)
中国，呼伦贝尔草原 (China, Hulunbuir Grassland)
中国，丹霞山 (China, Danxia Mountain)
中国，德天瀑布 (China, Detian Waterfall)
中国，雁荡山 (China, Yandang Mountain)
中国，庐山 (China, Lushan Mountain)
中国，九华山 (China, Jiuhua Mountain)
中国，五台山 (China, Wutai Mountain)
中国，四姑娘山 (China, Siguniang Mountain)
中国，武隆喀斯特 (China, Wulong Karst)
中国，武当山 (China, Wudang Mountain)
中国，嵩山少林寺 (China, Shaolin Temple on Songshan)
中国，泰山 (China, Mount Tai)
中国，衡山 (China, Mount Heng)
中国，恒山 (China, Mount Heng)
中国，龙门石窟 (China, Longmen Grottoes)
中国，麦积山石窟 (China, Maiji Mountain Grottoes)
中国，大足石刻 (China, Dazu Rock Carvings)
中国台湾，台北101大楼 (Taiwan China, Taipei 101)
中国台湾，阿里山 (Taiwan China, Alishan)
中国台湾，日月潭 (Taiwan China, Sun Moon Lake)
中国台湾，垦丁国家公园 (Taiwan China, Kenting National Park)
中国台湾，太鲁阁峡谷 (Taiwan China, Taroko Gorge)
中国台湾，野柳地质公园 (Taiwan China, Yehliu Geopark)
中国台湾，九份老街 (Taiwan China, Jiufen Old Street)
中国台湾，淡水渔人码头 (Taiwan China, Tamsui Fisherman's Wharf)
中国香港，维多利亚港 (Hong Kong China, Victoria Harbour)
中国澳门，大三巴牌坊 (Macau China, Ruins of St. Paul's)
日本，东京浅草寺 (Japan, Senso-ji Temple)
日本，京都金阁寺 (Japan, Kinkaku-ji)
日本，大阪城 (Japan, Osaka Castle)
日本，奈良东大寺 (Japan, Todai-ji Temple)
日本，富士山 (Japan, Mount Fuji)
日本，札幌钟楼 (Japan, Sapporo Clock Tower)
日本，函馆夜景 (Japan, Hakodate Night View)
日本，冲绳首里城 (Japan, Shuri Castle)
日本，名古屋城 (Japan, Nagoya Castle)
日本，广岛和平纪念公园 (Japan, Hiroshima Peace Memorial Park)
日本，长崎哥拉巴园 (Japan, Glover Garden)
日本，神户异人馆 (Japan, Kitano-cho)
日本，横滨中华街 (Japan, Yokohama Chinatown)
日本，镰仓大佛 (Japan, Kamakura Daibutsu)
日本，日光东照宫 (Japan, Nikko Toshogu Shrine)
日本，白川乡合掌村 (Japan, Shirakawa-go)
日本，箱根温泉 (Japan, Hakone Hot Springs)
日本，轻井泽 (Japan, Karuizawa)
日本，北海道富良野 (Japan, Furano)
日本，小樽运河 (Japan, Otaru Canal)
日本，那霸国际通 (Japan, Kokusai Street)
韩国，首尔景福宫 (South Korea, Gyeongbokgung Palace)
韩国，济州岛汉拿山 (South Korea, Hallasan Mountain)
新加坡，鱼尾狮公园 (Singapore, Merlion Park)
马来西亚，吉隆坡双子塔 (Malaysia, Petronas Twin Towers)
印度尼西亚，巴厘岛海神庙 (Indonesia, Tanah Lot)
印度尼西亚，婆罗浮屠 (Indonesia, Borobudur)
印度尼西亚，普兰巴南神庙 (Indonesia, Prambanan Temple)
马来西亚，马六甲红屋 (Malaysia, Christ Church)
马来西亚，槟城乔治市 (Malaysia, George Town)
老挝，琅勃拉邦古城 (Laos, Luang Prabang)
老挝，万象塔銮寺 (Laos, Pha That Luang)
缅甸，仰光大金塔 (Myanmar, Shwedagon Pagoda)
越南，河内还剑湖 (Vietnam, Hoan Kiem Lake)
缅甸，蒲甘佛塔群 (Myanmar, Bagan Temples)
越南，下龙湾 (Vietnam, Halong Bay)
越南，会安古城 (Vietnam, Hoi An Ancient Town)
泰国，曼谷大皇宫 (Thailand, Grand Palace)
泰国，清迈古城 (Thailand, Chiang Mai Old City)
泰国，普吉岛海滩 (Thailand, Phuket Beaches)
泰国，芭提雅海滩 (Thailand, Pattaya Beach)
泰国，苏梅岛 (Thailand, Koh Samui)
泰国，皮皮岛 (Thailand, Koh Phi Phi)
泰国，清莱白庙 (Thailand, Wat Rong Khun)
泰国，清莱黑庙 (Thailand, Wat Rong Suea Ten)
泰国，素可泰古城 (Thailand, Sukhothai Historical Park)
泰国，大城府 (Thailand, Ayutthaya Historical Park)
泰国，华欣海滩 (Thailand, Hua Hin Beach)
泰国，甲米岛 (Thailand, Krabi)
泰国，象岛 (Thailand, Koh Chang)
泰国，沙美岛 (Thailand, Koh Samet)
泰国，清迈双龙寺 (Thailand, Wat Phra That Doi Suthep)
泰国，曼谷郑王庙 (Thailand, Wat Arun)
泰国，清迈塔佩门 (Thailand, Tha Phae Gate)
泰国，清迈素贴山 (Thailand, Doi Suthep)
泰国，清迈大象自然公园 (Thailand, Elephant Nature Park)
泰国，普吉岛幻多奇乐园 (Thailand, Phuket FantaSea)
泰国，曼谷暹罗海洋世界 (Thailand, Siam Ocean World)
泰国，泰国铁路市场 (Thailand, Maeklong Railway Market)
泰国，清迈蒲屏皇宫 (Thailand, Phu Ping Palace)
泰国，普吉岛皇帝岛 (Thailand, Koh Racha Yai)
泰国，普吉岛珊瑚岛 (Thailand, Koh Hae)
泰国，苏梅岛安通国家海洋公园 (Thailand, Ang Thong National Marine Park)
泰国，华欣圣托里尼公园 (Thailand, Santorini Park Hua Hin)
泰国，华欣小瑞士绵羊牧场 (Thailand, Swiss Sheep Farm Hua Hin)
泰国，芭提雅东芭乐园 (Thailand, Nong Nooch Tropical Garden)
泰国，泰国美食街 (Thailand, Thai Street Food)
印度，泰姬陵 (India, Taj Mahal)
法国，埃菲尔铁塔 (France, Eiffel Tower)
法国，卢浮宫 (France, Louvre Museum)
法国，凡尔赛宫 (France, Palace of Versailles)
法国，圣米歇尔山 (France, Mont Saint-Michel)
意大利，罗马斗兽场 (Italy, Colosseum)
意大利，比萨斜塔 (Italy, Leaning Tower of Pisa)
意大利，威尼斯圣马可大教堂 (Italy, St. Mark's Basilica)
意大利，佛罗伦萨圣母百花大教堂 (Italy, Florence Cathedral)
意大利，米兰大教堂 (Italy, Milan Cathedral)
意大利，维苏威火山 (Italy, Mount Vesuvius)
英国，巨石阵 (United Kingdom, Stonehenge)
英国，伦敦塔桥 (United Kingdom, Tower Bridge)
英国，白金汉宫 (United Kingdom, Buckingham Palace)
英国，大本钟 (United Kingdom, Big Ben)
德国，新天鹅堡 (Germany, Neuschwanstein Castle)
德国，科隆大教堂 (Germany, Cologne Cathedral)
西班牙，巴塞罗那圣家堂 (Spain, Sagrada Familia)
西班牙，马德里皇宫 (Spain, Royal Palace of Madrid)
西班牙，阿尔罕布拉宫 (Spain, Alhambra)
希腊，雅典卫城 (Greece, Acropolis of Athens)
希腊，圣托里尼岛 (Greece, Santorini)
俄罗斯，克里姆林宫 (Russia, Kremlin)
俄罗斯，红场 (Russia, Red Square)
俄罗斯，圣彼得堡冬宫 (Russia, Hermitage Museum)
俄罗斯，圣彼得堡涅瓦河 (Russia, Neva River)
俄罗斯，圣彼得堡夏宫 (Russia, Peterhof Palace)
俄罗斯，贝加尔湖 (Russia, Lake Baikal)
俄罗斯，喀山大教堂 (Russia, Kazan Cathedral)
俄罗斯，叶卡捷琳堡滴血教堂 (Russia, Church on the Blood)
俄罗斯，索契奥林匹克公园 (Russia, Sochi Olympic Park)
俄罗斯，伏尔加河 (Russia, Volga River)
俄罗斯，勘察加半岛间歇泉谷 (Russia, Valley of Geysers)
俄罗斯，金环小镇苏兹达尔 (Russia, Suzdal)
俄罗斯，金环小镇弗拉基米尔 (Russia, Vladimir)
俄罗斯，西伯利亚大铁路 (Russia, Trans-Siberian Railway)
俄罗斯，堪察加半岛火山 (Russia, Kamchatka Volcanoes)
俄罗斯，库尔斯克会战纪念馆 (Russia, Kursk Battle Memorial)
俄罗斯，圣瓦西里大教堂 (Russia, St. Basil's Cathedral)
俄罗斯，列宁墓 (Russia, Lenin's Mausoleum)
俄罗斯，阿尔巴特街 (Russia, Arbat Street)
俄罗斯，莫斯科大学 (Russia, Lomonosov Moscow State University)
俄罗斯，特列季亚科夫画廊 (Russia, Tretyakov Gallery)
俄罗斯，新西伯利亚科学城 (Russia, Novosibirsk Akademgorodok)
俄罗斯，加里宁格勒琥珀博物馆 (Russia, Kaliningrad Amber Museum)
奥地利，维也纳美泉宫 (Austria, Schönbrunn Palace)
捷克，布拉格城堡 (Czech Republic, Prague Castle)
匈牙利，布达城堡 (Hungary, Buda Castle)
波兰，华沙老城 (Poland, Warsaw Old Town)
拉脱维亚，里加老城 (Latvia, Riga Old Town)
爱沙尼亚，塔林老城 (Estonia, Tallinn Old Town)
芬兰，赫尔辛基大教堂 (Finland, Helsinki Cathedral)
挪威，奥斯陆歌剧院 (Norway, Oslo Opera House)
瑞典，斯德哥尔摩市政厅 (Sweden, Stockholm City Hall)
丹麦，哥本哈根小美人鱼 (Denmark, The Little Mermaid)
冰岛，雷克雅未克大教堂 (Iceland, Hallgrímskirkja)
