# 情绪与氛围选项 / Mood and Atmosphere Options
忧郁 (Melancholic)
欢快 (Joyful)
神秘 (Mysterious)
浪漫 (Romantic)
紧张 (Tense)
宁静 (Serene)
孤独 (Lonely)
充满活力 (Energetic)
梦幻 (Dreamy)
写实 (Realistic)
超现实 (Surreal)
电影感 (Cinematic)
怀旧 (Nostalgic)
忧郁诗意 (Poetic Melancholy)
温暖 (Warm)
冷酷 (Cold)
恐怖 (Horror)
喜剧 (Comedic)
史诗 (Epic)
亲密 (Intimate)
宏大 (Grand)
脆弱 (Fragile)
坚强 (Strong)
希望 (Hopeful)
绝望 (Despair)
宁静致远 (Peaceful)
动感 (Dynamic)
静态 (Static)
神秘莫测 (Enigmatic)
优雅 (Elegant)
狂野 (Wild)
精致 (Sophisticated)
粗犷 (Rugged)
纯净 (Pure)
混乱 (Chaotic)
和谐 (Harmonious)
冲突 (Conflicting)
宁静祥和 (Tranquil)
充满激情 (Passionate)
沉思 (Contemplative)
轻松 (Relaxed)
压抑 (Oppressive)
自由 (Free)
束缚 (Constrained)
神圣 (Divine)
世俗 (Secular)
永恒 (Timeless)
短暂 (Ephemeral)
