qwen3_id;md-translator;iso_lang_code_set1;qwen3_language;labelKey;nativeLabel;iso_lang_code_set2;qwen3_family;wikipedia_link
;am;;;;;;;
71;ar;ar;Arabic;arabic;العربية (al-ʿarabiyya);ara;Afro-Asiatic;https://en.wikipedia.org/wiki/Arabic
7;bg;bg;Bulgarian;bulgarian;Български (Bǎlgarski);bul;Indo-European;https://en.wikipedia.org/wiki/Bulgarian_language
39;bho;bho;Bhojpuri;bhojpuri;भोजपुरी (Bhojpurī);bho;Indo-European;https://en.wikipedia.org/wiki/Bhojpuri_language
45;bn;bn;Bengali;bengali;বাংলা (Bangla);ben;Indo-European;https://en.wikipedia.org/wiki/Bengali_language
9;cs;cs;Czech;czech;Čeština;ces;Indo-European;https://en.wikipedia.org/wiki/Czech_language
6;da;da;Danish;danish;Dansk;dan;Indo-European;https://en.wikipedia.org/wiki/Danish_language
3;de;de;German;german;Deutsch;ger;Indo-European;https://en.wikipedia.org/wiki/German_language
10;el;el;Greek;greek;Ελληνικά (Elliniká);ell;Indo-European;https://en.wikipedia.org/wiki/Greek_language
0;en;en;English;english;English;eng;Indo-European;https://en.wikipedia.org/wiki/English_language
12;es;es;Spanish;spanish;Español;spa;Indo-European;https://en.wikipedia.org/wiki/Spanish_language
99;et;et;Estonian;estonian;Eesti;est;Uralic;https://en.wikipedia.org/wiki/Estonian_language
20;fa;fa;Persian;persian;فارسی (Fārsi);fas;Indo-European;https://en.wikipedia.org/wiki/Persian_language
98;fi;fi;Finnish;finnish;Suomi;fin;Uralic;https://en.wikipedia.org/wiki/Finnish_language
;fil;;;;;;;
1;fr;fr;French;french;Français;fre;Indo-European;https://en.wikipedia.org/wiki/French_language
22;gu;gu;Gujarati;gujarati;ગુજરાતી (Gujarātī);guj;Indo-European;https://en.wikipedia.org/wiki/Gujarati_language
;ha;;;;;;;
72;he;he;Hebrew;hebrew;עברית (Ivrit);heb;Afro-Asiatic;https://en.wikipedia.org/wiki/Hebrew_language
43;hi;hi;Hindi;hindi;हिन्दी (Hindī);hin;Indo-European;https://en.wikipedia.org/wiki/Hindi
15;hr;hr;Croatian;croatian;Hrvatski;hrv;Indo-European;https://en.wikipedia.org/wiki/Croatian_language
100;hu;hu;Hungarian;hungarian;Magyar;hun;Uralic;https://en.wikipedia.org/wiki/Hungarian_language
74;id;id;Indonesian;indonesian;Bahasa Indonesia;ind;Austronesian;https://en.wikipedia.org/wiki/Indonesian_language
24;it;it;Italian;italian;Italiano;ita;Indo-European;https://en.wikipedia.org/wiki/Italian_language
103;ja;ja;Japanese;japanese;日本語 (Nihongo);jpn;Other;https://en.wikipedia.org/wiki/Japanese_language
78;jv;jv;Javanese;javanese;ꦧꦱꦗꦮ (Basa Jawa);jav;Austronesian;https://en.wikipedia.org/wiki/Javanese_language
93;kk;kk;Kazakh;kazakh;Қазақша (Qazaqşa);kaz;Turkic;https://en.wikipedia.org/wiki/Kazakh_language
88;kn;kn;Kannada;kannada;ಕನ್ನಡ (Kannaḍa);kan;Dravidian;https://en.wikipedia.org/wiki/Kannada_language
104;ko;ko;Korean;korean;한국어 (Hangugeo);kor;Other;https://en.wikipedia.org/wiki/Korean_language
;ky;;;;;;;
17;lt;lt;Lithuanian;lithuanian;Lietuvių;lit;Indo-European;https://en.wikipedia.org/wiki/Lithuanian_language
23;lv;lv;Latvian;latvian;Latviešu;lav;Indo-European;https://en.wikipedia.org/wiki/Latvian_language
27;mr;mr;Marathi;marathi;मराठी (Marāṭhī);mar;Indo-European;https://en.wikipedia.org/wiki/Marathi_language
75;ms;ms;Malay;malay;Bahasa Melayu;msa;Austronesian;https://en.wikipedia.org/wiki/Malay_language
18;nb;nb;Norwegian Bokmål;norwegianbokmal;Norsk Bokmål;nob;Indo-European;https://en.wikipedia.org/wiki/Bokm%C3%A5l
13;nl;nl;Dutch;dutch;Nederlands;nld;Indo-European;https://en.wikipedia.org/wiki/Dutch_language
16;pl;pl;Polish;polish;Polski;pol;Indo-European;https://en.wikipedia.org/wiki/Polish_language
2;pt;pt;Portuguese;portuguese;Português;por;Indo-European;https://en.wikipedia.org/wiki/Portuguese_language
4;ro;ro;Romanian;romanian;Română;ron;Indo-European;https://en.wikipedia.org/wiki/Romanian_language
8;ru;ru;Russian;russian;Русский (Russkij);rus;Indo-European;https://en.wikipedia.org/wiki/Russian_language
14;sk;sk;Slovak;slovak;Slovenčina;slk;Indo-European;https://en.wikipedia.org/wiki/Slovak_language
21;sl;sl;Slovenian;slovenian;Slovenščina;slv;Indo-European;https://en.wikipedia.org/wiki/Slovene_language
5;sv;sv;Swedish;swedish;Svenska;swe;Indo-European;https://en.wikipedia.org/wiki/Swedish_language
111;sw;sw;Swahili;swahili;Kiswahili;swa;Other;https://en.wikipedia.org/wiki/Swahili_language
86;ta;ta;Tamil;tamil;தமிழ் (Tamiḻ);tam;Dravidian;https://en.wikipedia.org/wiki/Tamil_language
87;te;te;Telugu;telugu;తెలుగు (Telugu);tel;Dravidian;https://en.wikipedia.org/wiki/Telugu_language
96;th;th;Thai;thai;ไทย (Thai);tha;Tai-Kadai;https://en.wikipedia.org/wiki/Thai_language
;tk;;;;;;;
90;tr;tr;Turkish;turkish;Türkçe;tur;Turkic;https://en.wikipedia.org/wiki/Turkish_language
;ug;;;;;;;
