"name","prompt","negative_prompt","thumbnail"
"Pure joy smile to ears","Shift the facial expression to pure joy with a wide open-mouth smile and crinkled eyes.","","expression/pure_joy_with_a_wide_open-mouth_smile_and_crinkled_eyes.jpg"
"Mild contentment soft smile","Shift the facial expression to subtle contentment with a soft closed-lip smile and relaxed eyes.","","expression/subtle_contentment_with_a_soft_closed-lip_smile_and_relaxed_eyes.jpg"
"Quiet sadness downcast eyes","Shift the facial expression to quiet sadness with downcast eyes and slightly pressed lips.","","expression/quiet_sadness_with_downcast_eyes_and_slightly_pressed_lips.jpg"
"Intense rage clenched jaw","Shift the facial expression to intense anger with furrowed brows, flared nostrils, and a tight jaw.","","expression/intense_anger_with_furrowed_brows_flared_nostrils_and_a_tight_jaw.jpg"
"Genuine surprise open mouth","Shift the facial expression to genuine surprise with raised eyebrows, wide eyes, and a dropped open mouth.","","expression/genuine_surprise_with_raised_eyebrows_wide_eyes_and_a_dropped_open_mouth.jpg"
"Deep fear wide eyes","Shift the facial expression to deep fear with eyes wide in terror, raised brows, and a tense, open mouth.","","expression/deep_fear_with_eyes_wide_in_terror_raised_brows_and_a_tense_open_mouth.jpg"
"Utter disgust wrinkled nose","Shift the facial expression to utter disgust with a wrinkled nose, raised upper lip, and squinted eyes.","","expression/utter_disgust_with_a_wrinkled_nose_raised_upper_lip_and_squinted_eyes.jpg"
"Concentrated determination firm mouth","Shift the facial expression to concentrated determination with slightly lowered brows, focused eyes, and a firm mouth.","","expression/concentrated_determination_with_slightly_lowered_brows_focused_eyes_and_a_firm_mouth.jpg"
"Serene calm half-closed eyelids","Shift the facial expression to serene calm with half-closed eyelids and a barely noticeable gentle smile.","","expression/serene_calm_with_half-closed_eyelids_and_a_barely_noticeable_gentle_smile.jpg"
"Mischievous playfulness crooked smirk","Shift the facial expression to mischievous playfulness with one eyebrow raised, a crooked smirk, and a sidelong glance.","","expression/mischievous_playfulness_with_one_eyebrow_raised_a_crooked_smirk_and_a_sidelong_glance.jpg"
"Confusion furrowed brow","Shift the facial expression to confusion with furrowed brows, one eye slightly squinted, and a pursed mouth.","","expression/confusion_with_furrowed_brows_one_eye_slightly_squinted_and_a_pursed_mouth.jpg"
"Exhausted relief heavy eyelids","Shift the facial expression to exhausted relief with heavy eyelids, a soft exhale mouth, and relaxed brows.","","expression/exhausted_relief_with_heavy_eyelids_a_soft_exhale_mouth_and_relaxed_brows.jpg"
"Contempt icy stare","Shift the facial expression to contempt with one corner of the mouth slightly raised and a cold, dismissive stare.","","expression/contempt_with_one_corner_of_the_mouth_slightly_raised_and_a_cold_dismissive_stare.jpg"
"Flirtatious desire heavy eyelids","Shift the facial expression to flirtatious desire with heavy-lidded eyes, a slight pout, and parted lips.","","expression/flirtatious_desire_with_heavy-lidded_eyes_a_slight_pout_and_parted_lips.jpg"
"Bursting laughter squeezed eyes","Shift the facial expression to bursting laughter with eyes squeezed shut, mouth wide open, and visible teeth.","","expression/bursting_laughter_with_eyes_squeezed_shut_mouth_wide_open_and_visible_teeth.jpg"
"Sudden shock frozen stare","Shift the facial expression to sudden shock with frozen wide eyes, raised brows stopping mid-forehead, and a gaping mouth.","","expression/sudden_shock_with_frozen_wide_eyes_raised_brows_stopping_mid-forehead_and_a_gaping_mouth.jpg"
"Deep sorrow teary eyes","Shift the facial expression to deep sorrow with tear-filled eyes, trembling lower lip, and furrowed brow.","","expression/deep_sorrow_with_tear-filled_eyes_trembling_lower_lip_and_furrowed_brow.jpg"
"Simmering rage teeth grinding","Shift the facial expression to simmering rage with a clenched jaw, lips pulled back, and piercing wide eyes.","","expression/simmering_rage_with_a_clenched_jaw_lips_pulled_back_and_piercing_wide_eyes.jpg"
"Quiet shame downcast gaze","Shift the facial expression to quiet shame with eyes looking down and away, pressed lips, and a slightly lowered brow.","","expression/quiet_shame_with_eyes_looking_down_and_away_pressed_lips_and_a_slightly_lowered_brow.jpg"
"Proud confidence raised chin","Shift the facial expression to proud confidence with chin slightly raised, steady direct eye contact, and a small firm smile.","","expression/proud_confidence_with_chin_slightly_raised_steady_direct_eye_contact_and_a_small_firm_smile.jpg"
"Playful pout pushed lip","Shift the facial expression to playful pout with lower lip pushed out, eyes looking up, and relaxed brows.","","expression/playful_pout_with_lower_lip_pushed_out_eyes_looking_up_and_relaxed_brows.jpg"
"Crushing grief squeezed eyes","Shift the facial expression to crushing grief with eyes squeezed shut, brow deeply furrowed, and a tight but quivering mouth.","","expression/crushing_grief_with_eyes_squeezed_shut_brow_deeply_furrowed_and_a_tight_but_quivering_mouth.jpg"
"Bored indifference blank stare","Shift the facial expression to bored indifference with a soft blank stare, slightly drooping eyelids, and a straight unexpressive mouth.","","expression/bored_indifference_with_a_soft_blank_stare_slightly_drooping_eyelids_and_a_straight_unexpressive_mouth.jpg"
"Sudden realization O mouth","Shift the facial expression to sudden realization with eyes snapping wide, eyebrows shooting up, and mouth forming a small O.","","expression/sudden_realization_with_eyes_snapping_wide_eyebrows_shooting_up_and_mouth_forming_a_small_O.jpg"
"Nervous anxiety bitten lip","Shift the facial expression to nervous anxiety with eyes darting to the side, bottom lip caught between teeth, and raised brows.","","expression/nervous_anxiety_with_eyes_darting_to_the_side_bottom_lip_caught_between_teeth_and_raised_brows.jpg"
"Smug satisfaction crooked smirk","Shift the facial expression to smug satisfaction with a closed-lip smirk on one side, eyes slightly relaxed, and chin slightly tucked.","","expression/smug_satisfaction_with_a_closed-lip_smirk_on_one_side_eyes_slightly_relaxed_and_chin_slightly_tucked.jpg"
"Childish wonder wide innocent eyes","Shift the facial expression to childish wonder with wide innocent eyes, eyebrows raised high, and a small awestruck open mouth.","","expression/childish_wonder_with_wide_innocent_eyes_eyebrows_raised_high_and_a_small_awestruck_open_mouth.jpg"
"Overwhelming pain screwed eyes","Shift the facial expression to overwhelming pain with eyes screwed shut, brows pulled together tightly, and a clenched grimace.","","expression/overwhelming_pain_with_eyes_screwed_shut_brows_pulled_together_tightly_and_a_clenched_grimace.jpg"
